id_envio,id_campania,fecha_envio,canal_campania,segmento_objetivo,id_cliente,abierto,click,compra_7dias
1,CAMP001,2025-01-26,SMS,Silver,CLI04115,True,False,False
2,CAMP001,2025-01-26,SMS,Silver,CLI01321,False,False,False
3,CAMP001,2025-01-26,SMS,Silver,CLI02263,False,False,False
4,CAMP001,2025-01-26,SMS,Silver,CLI04088,True,False,False
5,CAMP001,2025-01-26,SMS,Silver,CLI01082,False,False,False
6,CAMP001,2025-01-26,SMS,Silver,CLI02098,False,False,False
7,CAMP001,2025-01-26,SMS,Silver,CLI04484,True,False,False
8,CAMP001,2025-01-26,SMS,Silver,CLI01859,False,False,False
9,CAMP001,2025-01-26,SMS,Silver,CLI00419,False,False,False
10,CAMP001,2025-01-26,SMS,Silver,CLI01942,True,True,False
11,CAMP001,2025-01-26,SMS,Silver,CLI03160,False,False,False
12,CAMP001,2025-01-26,SMS,Silver,CLI00077,True,True,False
13,CAMP001,2025-01-26,SMS,Silver,CLI02879,False,False,False
14,CAMP001,2025-01-26,SMS,Silver,CLI05949,True,False,False
15,CAMP001,2025-01-26,SMS,Silver,CLI00590,False,False,False
16,CAMP001,2025-01-26,SMS,Silver,CLI04337,False,False,False
17,CAMP001,2025-01-26,SMS,Silver,CLI03544,False,False,False
18,CAMP001,2025-01-26,SMS,Silver,CLI02043,False,False,False
19,CAMP001,2025-01-26,SMS,Silver,CLI05535,False,False,False
20,CAMP001,2025-01-26,SMS,Silver,CLI00500,False,False,False
21,CAMP001,2025-01-26,SMS,Silver,CLI04262,False,False,False
22,CAMP001,2025-01-26,SMS,Silver,CLI01886,False,False,False
23,CAMP001,2025-01-26,SMS,Silver,CLI02832,False,False,False
24,CAMP001,2025-01-26,SMS,Silver,CLI05011,False,False,False
25,CAMP001,2025-01-26,SMS,Silver,CLI03677,False,False,False
26,CAMP001,2025-01-26,SMS,Silver,CLI04189,False,False,False
27,CAMP001,2025-01-26,SMS,Silver,CLI01978,False,False,False
