id_cliente,fecha_inscripcion,nivel,puntos_acumulados,puntos_canjeados,fecha_ultimo_movimiento
CLI02005,2023-04-27,Bronze,1502,705,2023-09-11
CLI05278,2022-10-17,Bronze,1725,273,
CLI01043,2024-10-13,Bronze,1531,1279,2025-03-03
CLI00611,2024-03-20,Bronze,2194,3152,2025-11-21
CLI01448,2023-05-23,Bronze,3493,2088,
CLI05707,2024-10-27,Bronze,1528,1163,2025-02-04
CLI03912,2022-10-26,Bronze,444,68,2025-06-28
CLI05160,2025-02-18,Bronze,9801,2935,2025-09-02
CLI04585,2023-05-26,Bronze,10322,6145,
CLI05017,2022-06-09,Bronze,4793,2493,2025-11-21
CLI00360,2025-04-30,Bronze,4397,1548,2025-08-24
CLI03894,2024-04-15,Silver,16249,14236,2024-09-15
CLI04011,2023-02-02,Bronze,1116,689,
CLI05559,2024-09-09,Bronze,9309,5132,2025-01-21
CLI05884,2024-03-19,Bronze,805,54,2025-08-21
CLI01355,2025-01-21,Bronze,294,171,2025-04-24
CLI05246,2025-06-12,Bronze,294,227,2025-06-23
CLI00403,2022-09-08,Bronze,5936,3926,
CLI01189,2024-06-29,Bronze,5571,259,2025-03-16
CLI05523,2025-04-15,Bronze,195,3,2025-05-28
CLI01445,2025-05-15,Bronze,3317,1540,2025-07-13
CLI02718,2024-02-29,Bronze,2023,246,2025-10-13
CLI00738,2025-11-06,Bronze,4082,1763,2025-12-12
CLI02125,2023-10-28,Bronze,4218,636,2024-01-26
CLI05119,2025-04-12,Bronze,9996,7015,2025-08-01
CLI03405,2025-02-13,Bronze,1131,422,2025-06-19
CLI00913,2023-11-19,Bronze,6092,5467,2024-12-12
CLI05463,2024-04-29,Bronze,3379,2480,2025-04-02
CLI03273,2024-12-07,Bronze,2335,1074,2025-03-25
CLI01539,2022-07-09,Bronze,5477,4412,
CLI04007,2023-04-01,Bronze,1536,985,2024-09-28
CLI03763,2025-01-03,Bronze,724,239,2025-05-16
CLI01114,2025-05-13,Bronze,6120,1415,2025-05-16
CLI00562,2023-09-17,Bronze,2330,1211,2024-02-19
CLI04189,2025-01-11,Bronze,2475,991,2025-10-08
CLI05673,2024-01-27,Bronze,2068,302,2025-07-20
CLI02957,2023-12-15,Bronze,2158,1700,2024-02-28
CLI03729,2022-04-10,Bronze,1301,121,2022-06-16
CLI02586,2025-06-04,Bronze,1007,80,2025-12-15
CLI04516,2024-02-19,Bronze,4971,4217,2025-02-25
CLI00501,2022-06-04,Bronze,5454,624,2023-10-04
CLI00060,2022-02-21,Bronze,4092,5359,2024-03-17
CLI01441,2022-10-05,Bronze,288,222,
CLI04857,2022-09-01,Silver,15812,8806,
CLI05873,2025-07-13,Bronze,8486,4744,2025-08-25
CLI04117,2023-08-16,Bronze,3566,2045,2023-10-06
CLI03702,2024-05-10,Bronze,10398,7754,2025-02-15
CLI03275,2023-12-21,Bronze,1219,396,2025-10-22
CLI01016,2022-09-12,Bronze,8673,3043,2023-01-15
CLI04574,2022-03-20,Bronze,2382,1691,2024-07-28
CLI03533,2022-03-07,Bronze,6329,360,2022-08-26
CLI04412,2025-07-17,Silver,22370,15580,2025-12-01
CLI00853,2024-09-06,Bronze,9999,2011,2025-06-29
CLI04078,2024-04-14,Bronze,5379,2909,2025-11-28
CLI04328,2022-11-17,Bronze,6087,5041,2025-05-26
CLI02714,2023-12-30,Bronze,5551,3179,2025-02-05
CLI01423,2023-09-23,Bronze,4219,745,2023-10-03
CLI00245,2022-03-24,Bronze,578,790,2025-01-06
CLI01284,2022-03-22,Bronze,1582,825,
CLI04244,2025-01-22,Bronze,604,414,2025-02-22
CLI01486,2024-06-22,Silver,13761,11145,2025-08-07
CLI03114,2023-09-26,Bronze,6537,1404,2025-09-03
CLI05397,2023-10-23,Silver,14364,799,2025-02-12
CLI05656,2022-05-26,Bronze,3087,767,2022-11-01
CLI00608,2022-08-25,Bronze,36,21,2024-03-04
CLI02760,2022-03-10,Bronze,2744,1279,
CLI01353,2025-02-13,Bronze,4186,2090,2025-09-06
CLI01052,2022-06-28,Bronze,7175,2147,2023-08-17
CLI02977,2024-11-13,Bronze,3403,207,2025-12-07
CLI05157,2025-06-09,Bronze,1857,267,2025-08-25
CLI04446,2023-10-03,Bronze,8701,6377,2025-08-14
CLI02322,2025-06-02,Bronze,1355,447,2025-11-26
CLI02451,2022-10-09,Bronze,5416,2950,
CLI01060,2022-11-23,Bronze,4031,2457,2024-07-05
CLI00247,2022-10-13,Bronze,9391,4680,2024-03-04
CLI01183,2023-11-13,Bronze,1949,1030,2025-01-02
CLI01133,2025-08-08,Bronze,306,0,2025-12-22
CLI05020,2024-06-21,Bronze,2256,1166,2025-10-26
CLI02865,2024-03-25,Bronze,7417,2693,2025-10-30
CLI03932,2022-10-14,Silver,22237,3068,2024-12-07
CLI02615,2025-11-25,Bronze,3593,1948,2025-12-10
CLI05915,2023-08-21,Bronze,1164,766,2024-01-18
CLI04129,2025-05-30,Bronze,2763,1015,2025-07-11
CLI04512,2025-11-03,Bronze,7116,5135,2025-12-06
CLI03547,2023-03-17,Bronze,3424,2194,
CLI00707,2024-06-29,Bronze,9444,7696,2025-09-20
CLI01196,2022-08-27,Bronze,2494,1665,
CLI05488,2024-09-09,Bronze,11104,6867,2025-01-23
CLI03225,2025-09-09,Bronze,898,256,2025-10-31
CLI06046,2025-05-02,Bronze,5133,4279,2025-10-07
CLI02758,2025-11-16,Bronze,5035,2014,2025-11-29
CLI02640,2022-10-21,Bronze,3780,2820,
CLI00464,2023-01-05,Bronze,63,42,
CLI01792,2023-02-24,Bronze,1490,638,
CLI01522,2024-11-27,Bronze,1935,898,2025-11-10
CLI05454,2023-08-29,Bronze,7645,4321,2025-01-01
CLI01458,2024-09-04,Bronze,3346,416,2025-05-16
CLI01408,2023-03-12,Bronze,1509,470,2025-08-05
CLI05528,2023-01-04,Bronze,808,68,2023-09-19
CLI05913,2024-04-18,Bronze,418,47,2024-09-22
CLI00961,2025-04-19,Bronze,2810,1569,2025-09-23
CLI05231,2025-10-25,Bronze,634,157,2025-12-25
CLI05790,2024-01-09,Bronze,2247,1391,2025-07-17
CLI03140,2024-01-07,Bronze,3575,5087,2024-05-05
