id_transaccion,fecha,id_tienda,canal,id_cliente,categoria,monto_neto,unidades,medio_pago
TX0003992,2025-01-15,,Online,CLI04850,Decoracion,17385.78,3,Billetera virtual
TX0049491,2022-11-04,T18,Tienda,,Muebles,83469.81,3,Efectivo
TX0031452,2024-06-04,,Online,CLI02098,Cocina y mesa,13509.18,3,Tarjeta debito
TX0031709,2025-08-04,,Online,,Muebles,53140.28,3,Efectivo
TX0004307,2025-03-01,T05,Tienda,,Decoracion,19475.32,3,Efectivo
TX0020120,2023-07-13,T22,Tienda,,Decoracion,15933.69,1,Tarjeta credito
TX0001295,2022-11-22,,Online,CLI05529,Muebles,79388.33,1,Efectivo
TX0019498,2024-07-31,T06,Tienda,CLI05921,Organizacion,7965.55,6,Tarjeta debito
TX0001826,2025-01-14,,Online,CLI04383,Iluminacion,28490.24,4,Billetera virtual
TX0011427,2024-07-08,T12,Tienda,,Cocina y mesa,18748.42,1,Efectivo
TX0028206,2022-11-09,T23,Tienda,CLI03097,Cocina y mesa,7897.21,3,Billetera virtual
TX0045834,2022-04-23,,Online,CLI02251,Muebles,28435.8,1,Billetera virtual
TX0036698,2022-11-16,T21,Tienda,CLI05438,Organizacion,10510.91,2,Tarjeta debito
TX0024648,2023-08-11,T07,Tienda,CLI04675,Iluminacion,22213.42,3,Efectivo
TX0038477,2025-11-01,T12,Tienda,,Textil hogar,23728.54,1,Tarjeta debito
TX0047989,2023-03-14,,Online,CLI03762,Iluminacion,27873.23,2,Billetera virtual
TX0004141,2022-08-26,T10,Tienda,,Cocina y mesa,14741.46,1,Billetera virtual
TX0009217,2024-03-18,T22,Tienda,CLI04350,Iluminacion,5261.61,3,Tarjeta credito
TX0004499,2024-06-26,,Online,CLI03718,Baño,5868.39,1,Efectivo
TX0046267,2024-11-30,T15,Tienda,CLI05268,Decoracion,21140.13,5,Tarjeta debito
TX0016075,2025-06-14,,Online,,Textil hogar,24199.65,1,Tarjeta debito
TX0021720,2024-01-08,T28,Tienda,CLI00479,Muebles,80476.61,2,Efectivo
TX0008056,2025-04-28,T25,Tienda,CLI00031,Cocina y mesa,14255.97,2,Billetera virtual
TX0038041,2024-03-27,,Online,CLI02507,Baño,6741.2,1,Tarjeta credito
TX0045586,2023-02-21,,Online,CLI01460,Textil hogar,17550.48,2,Efectivo
TX0036903,2024-12-23,,Online,,Cocina y mesa,6572.85,3,Tarjeta debito
TX0019890,2023-12-12,T14,Tienda,CLI05397,Organizacion,-14703.59,2,Billetera virtual
TX0033770,2024-09-10,T04,Tienda,,Baño,7141.98,3,Tarjeta debito
TX0044332,2024-05-11,T16,Tienda,,Iluminacion,14187.58,3,Tarjeta credito
TX0038181,2024-07-23,,Online,,Decoracion,16700.47,1,Tarjeta debito
TX0006062,2025-10-28,T14,Tienda,CLI00361,Decoracion,21914.82,5,Tarjeta credito
TX0038493,2022-09-13,,Online,CLI02127,Muebles,49980.59,2,Billetera virtual
TX0005279,2024-05-28,T16,Tienda,,Decoracion,14292.36,1,Tarjeta credito
TX0020769,2024-07-08,,Online,,Cocina y mesa,13411.72,1,Billetera virtual
TX0028694,2024-12-03,,Online,,Cocina y mesa,18762.88,7,Tarjeta credito
TX0012259,2024-04-29,,Online,,Decoracion,27903.45,2,Billetera virtual
TX0021257,2023-10-25,,Online,CLI03138,Iluminacion,24452.83,2,Tarjeta debito
TX0016268,2024-10-03,T04,Tienda,CLI05979,Cocina y mesa,13268.27,2,Tarjeta debito
TX0021632,2024-02-05,T26,Tienda,,Cocina y mesa,7527.58,1,Efectivo
TX0015355,2025-01-19,,Online,CLI01290,Textil hogar,27191.45,2,Tarjeta credito
TX0015122,2024-09-05,,Online,CLI04476,Organizacion,7559.36,4,Tarjeta debito
