id_devolucion,id_transaccion,id_cliente,fecha_devolucion,monto_devuelto,motivo
DEV0001,TX0019890,CLI05397,2023-12-16,14703.59,Cambio de talle/color
DEV0002,TX0025164,CLI04640,2025-04-19,17842.81,Error de compra
DEV0003,TX0001160,,2023-02-28,17573.53,Error de compra
DEV0004,TX0021810,,2025-06-16,11432.06,Cambio de talle/color
DEV0005,TX0045268,CLI05673,2023-07-31,3472.06,Cambio de talle/color
DEV0006,TX0016894,,2023-10-17,12490.14,Producto defectuoso
DEV0007,TX0006975,,2024-08-27,31688.21,Producto defectuoso
DEV0008,TX0003388,,2023-12-11,24013.86,No cumplio expectativas
DEV0009,TX0032350,CLI00004,2024-12-19,17727.83,No cumplio expectativas
DEV0010,TX0038771,CLI04267,2025-09-13,14010.07,Producto defectuoso
DEV0011,TX0023492,CLI04048,2023-11-22,15328.05,No cumplio expectativas
DEV0012,TX0023261,CLI02831,2024-02-19,58299.25,Error de compra
DEV0013,TX0005081,CLI04554,2024-10-17,7868.52,Cambio de talle/color
DEV0014,TX0001885,CLI05602,2023-09-10,19388.01,Cambio de talle/color
DEV0015,TX0000350,,2023-10-24,24874.26,Cambio de talle/color
DEV0016,TX0048278,CLI03993,2023-12-06,3664.01,No cumplio expectativas
DEV0017,TX0034714,CLI05251,2024-03-03,32059.98,Cambio de talle/color
DEV0018,TX0033675,,2025-01-24,10307.07,Error de compra
DEV0019,TX0031656,CLI04559,2023-10-26,70862.96,Cambio de talle/color
DEV0020,TX0020079,CLI05546,2023-08-09,14301.46,No cumplio expectativas
DEV0021,TX0037023,,2024-08-01,7561.62,Cambio de talle/color
DEV0022,TX0034411,CLI06000,2023-05-11,10621.65,Producto defectuoso
DEV0023,TX0029779,,2024-08-24,53627.23,Error de compra
DEV0024,TX0014837,CLI01284,2025-09-07,54598.29,Cambio de talle/color
DEV0025,TX0001230,,2024-11-17,69208.59,Cambio de talle/color
DEV0026,TX0041242,,2023-06-24,19285.29,Error de compra
DEV0027,TX0022558,,2024-10-30,12890.42,Producto dañado en envio
DEV0028,TX0011879,CLI01305,2023-01-16,16784.64,Error de compra
DEV0029,TX0040284,CLI00533,2025-07-02,15918.68,Producto dañado en envio
DEV0030,TX0047969,,2023-03-17,17435.33,Producto dañado en envio
DEV0031,TX0013321,CLI01463,2025-02-27,12974.15,No cumplio expectativas
DEV0032,TX0048838,,2022-08-05,20160.73,Error de compra
DEV0033,TX0026461,CLI04065,2023-12-12,49765.1,Cambio de talle/color
DEV0034,TX0002821,,2024-10-26,10564.7,No cumplio expectativas
DEV0035,TX0016656,CLI05260,2023-02-23,14335.19,No cumplio expectativas
DEV0036,TX0023606,CLI01028,2024-01-31,21999.08,Producto dañado en envio
DEV0037,TX0044773,,2025-08-12,30680.87,Producto dañado en envio
DEV0038,TX0009377,CLI00056,2025-06-23,13643.73,No cumplio expectativas
DEV0039,TX0040642,,2025-04-25,25758.05,Error de compra
DEV0040,TX0025550,CLI00745,2024-05-08,25560.87,Cambio de talle/color
DEV0041,TX0021172,,2024-04-17,23024.89,Producto dañado en envio
DEV0042,TX0032687,CLI04279,2025-03-24,19171.34,No cumplio expectativas
DEV0043,TX0033284,CLI05900,2025-02-15,9956.45,No cumplio expectativas
DEV0044,TX0026073,CLI05489,2024-03-14,17804.46,Error de compra
DEV0045,TX0007281,,2025-01-27,44222.39,Error de compra
DEV0046,TX0000134,CLI04975,2024-12-25,34209.75,Producto defectuoso
DEV0047,TX0009794,CLI00763,2022-12-07,26047.18,Cambio de talle/color
DEV0048,TX0026366,CLI03552,2024-03-18,8609.64,Producto defectuoso
DEV0049,TX0026081,CLI04410,2025-01-23,22922.4,Error de compra
DEV0050,TX0014289,CLI00779,2025-02-24,8923.96,Producto defectuoso
DEV0051,TX0020958,,2023-12-22,23122.21,Cambio de talle/color
DEV0052,TX0002496,,2024-05-07,5373.88,No cumplio expectativas
DEV0053,TX0032984,,2023-07-16,10050.62,Error de compra
DEV0054,TX0021192,CLI05224,2023-12-20,19665.44,No cumplio expectativas
DEV0055,TX0042192,,2024-09-01,17100.02,Producto dañado en envio
DEV0056,TX0019781,,2023-10-09,11271.01,Producto dañado en envio
DEV0057,TX0006753,CLI04398,2024-07-17,24824.76,Producto defectuoso
DEV0058,TX0043154,,2025-02-23,12471.97,Producto dañado en envio
DEV0059,TX0033702,,2025-05-11,14451.53,Error de compra
DEV0060,TX0037787,CLI00743,2025-06-10,10071.21,Error de compra
DEV0061,TX0034548,CLI03240,2023-05-17,12434.3,Producto defectuoso
DEV0062,TX0008552,CLI02550,2023-09-18,19538.46,Error de compra
DEV0063,TX0020121,,2025-07-24,14914.39,Error de compra
DEV0064,TX0006531,,2023-03-01,19613.85,No cumplio expectativas
DEV0065,TX0049395,,2023-05-23,12527.87,Producto defectuoso
DEV0066,TX0005147,CLI01358,2024-05-26,28656.23,No cumplio expectativas
DEV0067,TX0046633,CLI05807,2023-03-18,5448.31,Producto dañado en envio
DEV0068,TX0028961,CLI00102,2025-03-05,21414.01,Error de compra
DEV0069,TX0018797,CLI04116,2023-10-10,13877.48,Producto defectuoso
DEV0070,TX0002408,CLI00248,2023-07-10,33513.51,Producto dañado en envio
DEV0071,TX0037802,CLI03647,2024-06-18,11935.72,Producto dañado en envio
DEV0072,TX0004946,CLI01059,2023-08-06,26245.02,Producto defectuoso
DEV0073,TX0027839,,2025-05-05,49294.27,Producto dañado en envio
DEV0074,TX0020421,CLI00670,2025-03-22,8695.78,No cumplio expectativas
DEV0075,TX0021684,CLI03250,2025-05-15,31395.73,No cumplio expectativas
DEV0076,TX0033654,,2024-11-23,21927.59,No cumplio expectativas
DEV0077,TX0007229,,2024-08-17,75646.75,Error de compra
DEV0078,TX0004665,,2023-09-13,22245.63,Producto dañado en envio
DEV0079,TX0017162,,2024-06-06,5648.93,Error de compra
DEV0080,TX0025078,CLI00010,2025-10-31,11433.3,Producto dañado en envio
DEV0081,TX0046957,CLI04458,2024-06-06,11928.44,Producto dañado en envio
DEV0082,TX0024897,CLI00353,2025-07-24,51926.19,Producto defectuoso
DEV0083,TX0034682,CLI03812,2025-01-18,15256.06,Cambio de talle/color
DEV0084,TX0030061,,2025-03-26,19036.31,Error de compra
DEV0085,TX0016394,CLI05516,2023-05-10,7267.27,No cumplio expectativas
DEV0086,TX0016525,CLI04737,2024-04-15,21390.33,Producto defectuoso
DEV0087,TX0010333,CLI05025,2025-01-24,13748.45,Producto defectuoso
DEV0088,TX0015540,CLI05531,2024-06-05,6817.9,No cumplio expectativas
DEV0089,TX0008309,,2024-10-05,86971.8,Error de compra
DEV0090,TX0021247,CLI01423,2024-07-10,21771.16,Producto defectuoso
