id_baja,id_cliente,fecha_solicitud,canal_solicitud,motivo
BAJA00001,CLI05261,2024-10-21,SMS,Exceso de comunicaciones
BAJA00002,CLI04186,2026-05-13,Email,Exceso de comunicaciones
BAJA00003,CLI00487,2025-08-13,Email,No especifica
BAJA00004,CLI05345,2026-04-09,Email,Ya no es cliente
BAJA00005,CLI04703,2023-12-28,Email,Exceso de comunicaciones
BAJA00006,CLI03529,2023-09-28,Email,Pidio no ser contactado en tienda
BAJA00007,CLI01585,2026-02-16,Tienda,Pidio no ser contactado en tienda
BAJA00008,CLI00904,2025-01-16,Email,Exceso de comunicaciones
BAJA00009,CLI01944,2025-05-11,Tienda,Exceso de comunicaciones
BAJA00010,CLI02100,2026-03-13,Tienda,No especifica
BAJA00011,CLI02082,2026-06-16,Formulario web,Exceso de comunicaciones
BAJA00012,CLI02927,2026-02-01,SMS,Exceso de comunicaciones
BAJA00013,CLI00616,2024-08-13,WhatsApp,Exceso de comunicaciones
BAJA00014,CLI04937,2026-08-28,Email,Reclamo previo
BAJA00015,CLI05468,2025-07-10,Email,Exceso de comunicaciones
BAJA00016,CLI05093,2026-07-29,Formulario web,Exceso de comunicaciones
BAJA00017,CLI00657,2022-08-18,Formulario web,Exceso de comunicaciones
BAJA00018,CLI02027,2026-07-06,Email,Ya no es cliente
BAJA00019,CLI04310,2024-07-09,Tienda,No especifica
BAJA00020,CLI05939,2024-04-15,Email,No especifica
BAJA00021,CLI03310,2026-04-17,Tienda,Ya no es cliente
BAJA00022,CLI04203,2023-10-02,Formulario web,Exceso de comunicaciones
BAJA00023,CLI02747,2026-08-09,Tienda,No especifica
BAJA00024,CLI02202,2025-05-23,SMS,Ya no es cliente
BAJA00025,CLI05663,2024-10-06,Email,No especifica
BAJA00026,CLI04126,2025-12-09,WhatsApp,No especifica
BAJA00027,CLI03670,2022-11-15,SMS,Pidio no ser contactado en tienda
BAJA00028,CLI04697,2023-03-15,Tienda,Reclamo previo
BAJA00029,CLI04121,2025-08-13,Tienda,No especifica
BAJA00030,CLI03535,2026-02-28,WhatsApp,Exceso de comunicaciones
BAJA00031,CLI04292,2022-03-18,Email,Reclamo previo
BAJA00032,CLI00821,2025-06-24,Email,Ya no es cliente
BAJA00033,CLI05057,2023-12-13,Email,Exceso de comunicaciones
BAJA00034,CLI00770,2026-01-01,Email,Pidio no ser contactado en tienda
BAJA00035,CLI04514,2026-02-21,Formulario web,No especifica
BAJA00036,CLI04329,2023-10-10,Tienda,No especifica
BAJA00037,CLI01428,2025-06-17,SMS,Exceso de comunicaciones
BAJA00038,CLI00488,2023-12-23,WhatsApp,Exceso de comunicaciones
BAJA00039,CLI02426,2026-08-25,Tienda,Ya no es cliente
BAJA00040,CLI05767,2025-01-04,Email,Pidio no ser contactado en tienda
BAJA00041,CLI00054,2026-01-20,Tienda,No especifica
BAJA00042,CLI05112,2025-07-18,Formulario web,Pidio no ser contactado en tienda
BAJA00043,CLI01073,2026-02-22,SMS,Ya no es cliente
BAJA00044,CLI04743,2023-08-27,Email,Pidio no ser contactado en tienda
BAJA00045,CLI03322,2026-05-25,Tienda,Exceso de comunicaciones
BAJA00046,CLI04084,2026-02-11,Email,Exceso de comunicaciones
BAJA00047,CLI04831,2025-02-25,Email,Exceso de comunicaciones
BAJA00048,CLI01164,2025-08-05,Tienda,Reclamo previo
BAJA00049,CLI04784,2024-06-17,Tienda,Reclamo previo
BAJA00050,CLI02871,2025-08-18,Email,Pidio no ser contactado en tienda
BAJA00051,CLI03956,2026-07-13,Email,Ya no es cliente
BAJA00052,CLI03238,2026-05-18,SMS,Ya no es cliente
BAJA00053,CLI00471,2026-03-04,Email,Exceso de comunicaciones
BAJA00054,CLI04117,2026-01-05,Email,Exceso de comunicaciones
BAJA00055,CLI02122,2026-05-28,SMS,Ya no es cliente
BAJA00056,CLI00379,2026-07-30,Tienda,Exceso de comunicaciones
BAJA00057,CLI04942,2026-05-28,SMS,Pidio no ser contactado en tienda
BAJA00058,CLI00100,2025-10-10,Email,No especifica
BAJA00059,CLI00999,2026-03-07,Email,Exceso de comunicaciones
BAJA00060,CLI02216,2026-05-31,Tienda,Pidio no ser contactado en tienda
BAJA00061,CLI04254,2026-01-24,Formulario web,Exceso de comunicaciones
BAJA00062,CLI03822,2024-12-13,Email,Ya no es cliente
BAJA00063,CLI00430,2026-03-22,Email,Exceso de comunicaciones
BAJA00064,CLI00395,2025-02-05,SMS,Ya no es cliente
BAJA00065,CLI03328,2026-08-21,SMS,Reclamo previo
BAJA00066,CLI05264,2023-09-21,SMS,Exceso de comunicaciones
BAJA00067,CLI05963,2023-11-29,SMS,No especifica
BAJA00068,CLI03173,2026-08-18,SMS,Ya no es cliente
BAJA00069,CLI04326,2026-04-15,Tienda,No especifica
BAJA00070,CLI02018,2025-07-06,Tienda,Exceso de comunicaciones
BAJA00071,CLI01887,2024-03-09,Tienda,Exceso de comunicaciones
BAJA00072,CLI04827,2024-11-28,Email,No especifica
BAJA00073,CLI03006,2023-12-22,WhatsApp,Exceso de comunicaciones
BAJA00074,CLI05004,2025-06-05,WhatsApp,Exceso de comunicaciones
BAJA00075,CLI04790,2025-01-17,Email,Ya no es cliente
BAJA00076,CLI02804,2025-06-28,Formulario web,Ya no es cliente
BAJA00077,CLI05829,2025-10-31,Formulario web,Exceso de comunicaciones
BAJA00078,CLI04307,2026-04-14,Tienda,No especifica
BAJA00079,CLI03582,2026-04-23,Tienda,Exceso de comunicaciones
BAJA00080,CLI05070,2026-07-20,WhatsApp,No especifica
BAJA00081,CLI04332,2024-07-23,Email,Ya no es cliente
BAJA00082,CLI00927,2025-07-21,Tienda,Pidio no ser contactado en tienda
BAJA00083,CLI05631,2026-01-30,Tienda,Exceso de comunicaciones
BAJA00084,CLI05700,2026-02-26,WhatsApp,Reclamo previo
BAJA00085,CLI04387,2026-02-28,SMS,Exceso de comunicaciones
BAJA00086,CLI00042,2026-03-07,WhatsApp,Ya no es cliente
BAJA00087,CLI05844,2023-09-12,SMS,No especifica
BAJA00088,CLI04984,2025-05-25,Formulario web,No especifica
BAJA00089,CLI05428,2026-07-09,Email,Exceso de comunicaciones
BAJA00090,CLI01879,2026-02-04,Email,Exceso de comunicaciones
BAJA00091,CLI05486,2023-12-15,WhatsApp,Exceso de comunicaciones
BAJA00092,CLI03039,2026-06-13,Email,Exceso de comunicaciones
BAJA00093,CLI03854,2026-06-02,WhatsApp,Ya no es cliente
BAJA00094,CLI04602,2023-10-16,WhatsApp,Exceso de comunicaciones
BAJA00095,CLI03961,2025-09-29,Email,Exceso de comunicaciones
BAJA00096,CLI00247,2022-10-11,Tienda,Pidio no ser contactado en tienda
BAJA00097,CLI01066,2025-06-13,SMS,Ya no es cliente
BAJA00098,CLI01526,2024-09-27,SMS,Ya no es cliente
BAJA00099,CLI00684,2023-11-09,SMS,Pidio no ser contactado en tienda
BAJA00100,CLI01025,2023-03-12,SMS,No especifica
BAJA00101,CLI05324,2023-10-05,Tienda,Pidio no ser contactado en tienda
BAJA00102,CLI00375,2023-04-16,SMS,Ya no es cliente
BAJA00103,CLI05587,2026-01-06,Email,No especifica
BAJA00104,CLI06011,2025-09-29,Tienda,Ya no es cliente
BAJA00105,CLI00499,2022-04-25,Tienda,Exceso de comunicaciones
