id_cliente,mes,reclamos,consultas,nps_promedio
CLI00002,2023-06-01,0,0,65.3
CLI00002,2024-04-01,0,0,19.1
CLI00002,2024-11-01,0,1,45.8
CLI00002,2025-02-01,0,2,-15.3
CLI00003,2024-10-01,0,1,36.9
CLI00004,2025-01-01,1,0,-79.6
CLI00004,2025-02-01,2,0,-40.9
CLI00004,2025-10-01,0,1,39.7
CLI00005,2025-03-01,2,1,-8.3
CLI00005,2025-04-01,0,1,13.3
CLI00005,2025-05-01,0,1,25.6
CLI00005,2025-08-01,1,0,35.7
CLI00006,2023-07-01,0,0,31.1
CLI00006,2024-05-01,2,0,43.9
CLI00006,2024-07-01,4,0,-47.5
CLI00006,2024-11-01,0,0,70.6
CLI00006,2025-11-01,1,0,29.3
CLI00007,2025-04-01,1,2,54.1
CLI00008,2024-05-01,3,0,-11.8
CLI00008,2024-07-01,1,1,-11.4
CLI00008,2024-08-01,3,0,-10.4
CLI00009,2024-09-01,1,0,19.6
CLI00010,2023-10-01,0,1,57.3
CLI00010,2025-08-01,1,0,68.1
CLI00011,2023-03-01,0,3,32.9
CLI00011,2024-11-01,0,0,32.5
CLI00011,2025-03-01,1,0,0.2
CLI00011,2025-05-01,4,1,25.6
CLI00011,2025-08-01,0,1,31.1
CLI00012,2025-06-01,3,1,-16.9
CLI00012,2025-08-01,0,1,-27.6
CLI00014,2023-12-01,0,1,38.2
CLI00015,2024-12-01,3,1,-20.9
CLI00015,2025-03-01,3,1,2.5
CLI00015,2025-08-01,0,2,41.5
CLI00016,2024-07-01,5,1,-27.3
CLI00016,2024-10-01,4,1,-9.2
CLI00017,2025-06-01,0,1,39.5
CLI00017,2025-11-01,1,1,65.6
CLI00018,2025-10-01,0,0,74.8
CLI00019,2023-10-01,0,0,5.3
CLI00019,2025-01-01,3,1,-13.3
CLI00019,2025-02-01,2,0,47.4
CLI00019,2025-03-01,3,1,-62.0
CLI00020,2025-03-01,0,0,91.6
CLI00020,2025-08-01,0,0,-24.7
CLI00023,2025-05-01,4,1,29.8
CLI00023,2025-06-01,1,0,-11.3
CLI00024,2025-04-01,0,1,6.7
CLI00026,2023-11-01,0,1,74.7
CLI00027,2024-05-01,2,0,-8.6
CLI00027,2024-07-01,3,0,22.3
CLI00028,2024-12-01,1,1,-29.2
CLI00028,2025-03-01,0,1,5.7
CLI00028,2025-12-01,1,1,50.9
CLI00029,2025-05-01,1,0,-38.2
CLI00031,2024-11-01,0,2,36.8
CLI00032,2025-01-01,1,1,-3.4
CLI00033,2023-09-01,0,0,50.8
CLI00033,2024-02-01,1,1,17.9
CLI00033,2024-06-01,0,1,50.9
CLI00033,2025-05-01,0,1,-5.2
CLI00034,2024-01-01,0,0,56.3
CLI00034,2024-07-01,2,4,58.8
CLI00034,2025-01-01,1,2,-11.7
CLI00035,2025-10-01,0,0,34.2
CLI00036,2023-06-01,0,0,64.2
CLI00036,2023-08-01,0,0,49.3
CLI00036,2024-01-01,0,0,24.8
CLI00036,2024-05-01,0,1,52.6
CLI00036,2024-09-01,0,0,51.3
CLI00036,2024-12-01,0,1,13.4
CLI00036,2025-03-01,0,1,-10.8
CLI00036,2025-04-01,2,1,-12.1
CLI00037,2024-03-01,1,1,-39.8
CLI00037,2024-04-01,1,1,-51.4
CLI00037,2024-10-01,0,0,100.0
CLI00038,2022-09-01,1,0,9.8
CLI00038,2022-12-01,0,0,44.1
CLI00038,2023-05-01,0,3,33.3
CLI00038,2024-09-01,4,0,1.7
CLI00038,2024-10-01,1,1,-8.1
CLI00038,2024-11-01,2,1,-8.0
CLI00039,2023-09-01,2,2,-6.2
CLI00039,2023-10-01,1,2,-0.0
CLI00039,2025-10-01,0,0,50.9
CLI00041,2024-09-01,0,0,99.6
CLI00041,2024-12-01,2,0,-11.2
CLI00041,2025-09-01,0,0,43.6
CLI00042,2024-02-01,0,1,-6.2
CLI00043,2022-12-01,0,1,34.1
CLI00043,2024-08-01,1,2,20.0
CLI00043,2024-10-01,0,0,-24.7
CLI00043,2025-01-01,0,0,82.0
CLI00043,2025-04-01,0,1,27.7
CLI00044,2025-06-01,1,0,-13.4
CLI00044,2025-07-01,2,2,-18.2
CLI00045,2023-07-01,0,1,33.8
CLI00045,2024-09-01,4,2,-18.4
CLI00045,2024-11-01,0,0,53.2
CLI00046,2024-02-01,0,2,34.9
CLI00046,2025-04-01,0,1,-9.5
CLI00046,2025-06-01,5,1,44.5
CLI00046,2025-10-01,0,0,66.2
CLI00047,2025-02-01,2,1,27.0
CLI00047,2025-03-01,1,0,26.5
CLI00047,2025-09-01,0,2,30.3
CLI00048,2023-01-01,1,0,43.2
CLI00048,2024-09-01,0,1,5.0
CLI00051,2022-10-01,0,2,42.8
CLI00051,2024-02-01,0,0,56.2
CLI00051,2024-11-01,0,1,33.4
CLI00051,2025-05-01,1,1,-30.7
